Unnamed: 0,num_police,date_debut_police,date_fin_police,REGION,DEPT,COMMUNE,CRITAIR,ENERGIE,AGE_VOIT,MARQUE,COULEUR,AGE_PERMIS,SEXE,AGEREV,CS1,ILT,TRANS,GARL,N_COND,ANCIENNETE,N_SINISTRE,1,2,3,4,5,COUT_SINISTRE,DATE_SINISTRE,IS_FRAUD,CHEMIN_IMAGE,SCORE_IA
77,201000000000077,2010-09-26,2011-09-26,52,72,72101,Crit'air 3,Gazole,19,Volkswagen,Grise,18,2,67,7,Z,Z,1,2,8,1,1425.06521372601,0.0,0.0,0.0,0,4043.34,2011-06-21,0,../data/True_data\trueimage_59.jpg,0.5331226587295532
287,201000000000287,2010-03-12,2011-03-12,24,45,45345,Crit'air 3,Gazole,20,BMW,Verte,18,2,56,4,2,5,1,2,4,1,1295.78492431018,0.0,0.0,0.0,0,6235.22,2010-04-17,0,../data/True_data\trueimage_98.jpg,0.3096746802330017
321,201000000000321,2010-11-05,2011-11-05,53,56,56043,Crit'air 3,Gazole,18,Citroën,Jaune,18,1,68,2,1,1,1,1,9,1,77.7640098509982,0.0,0.0,0.0,0,1443.37,2011-06-16,0,../data/True_data\trueimage_20.jpg,0.8580648303031921
395,201000000000395,2010-10-28,2011-10-28,75,17,17016,Crit'air 3,Gazole,12,Smart,Verte,20,1,50,3,1,5,2,4,7,1,2060.52491705609,0.0,0.0,0.0,0,498.43,2011-10-21,0,../data/True_data\trueimage_50.jpg,0.9426663517951965
419,201000000000419,2010-01-17,2010-08-11,76,46,46160,Crit'air 2,Gazole,5,Volkswagen,Bleue,19,1,43,2,2,5,1,2,0,1,1268.19638027796,0.0,0.0,0.0,0,1634.8,2010-06-16,0,../data/True_data\trueimage_9.jpg,0.8356167674064636
620,201000000000620,2010-12-27,2011-12-27,32,02,02268,Crit'air 2,Gazole,11,Renault,Sable,20,1,52,6,2,5,1,3,3,1,678.439498416498,0.0,0.0,0.0,0,1537.92,2011-12-02,0,../data/True_data\trueimage_30.jpg,0.6341759562492371
636,201000000000636,2010-12-18,2011-12-18,84,26,26072,Crit'air 5,Gazole,18,Peugeot,Grise,19,1,67,7,Z,Z,1,2,12,1,461.499798667621,0.0,0.0,0.0,0,589.0,2011-02-16,0,../data/True_data\trueimage_17.jpg,0.9039190411567688
650,201000000000650,2010-11-26,2011-11-26,75,64,64097,Crit'air 3,Gazole,11,Toyota,Grise,22,1,78,7,Z,Z,1,2,1,1,307.632754400245,0.0,0.0,0.0,0,9949.62,2011-05-29,1,../data/Fake_data\fakeimage_94.jpg,0.07148817181587219
685,201000000000685,2010-11-16,2011-11-16,32,80,80011,Crit'air 3,Gazole,15,Peugeot,Sable,18,1,51,3,2,5,2,4,11,1,43.2244188427522,0.0,0.0,0.0,0,8947.34,2011-02-28,0,../data/True_data\trueimage_90.jpg,0.34352630376815796
738,201000000000738,2010-06-20,2011-06-20,27,25,25471,Crit'air 5,Gazole,18,Volkswagen,Violette,18,1,42,4,2,5,1,2,4,1,5504.75719736495,0.0,0.0,0.0,0,9334.71,2011-05-17,0,../data/True_data\trueimage_87.jpg,0.8777451515197754
764,201000000000764,2010-10-04,2011-10-04,76,82,82035,Crit'air 1,Essence,3,Kia,Blanche,18,2,69,7,Z,Z,1,1,2,1,608.759681251567,0.0,0.0,0.0,0,492.17,2011-02-11,0,../data/True_data\trueimage_19.jpg,0.49084603786468506
808,201000000000808,2010-09-06,2011-09-06,11,77,77152,Crit'air 1,Essence,7,BMW,Blanche,18,1,40,4,3,5,1,2,5,1,343.388952476976,0.0,0.0,0.0,0,32306.3,2011-03-05,0,../data/True_data\trueimage_60.jpg,0.44428786635398865
888,201000000000888,2010-02-08,2011-02-08,44,68,68103,Crit'air 4,Gazole,16,Dacia,Noire,20,1,44,4,2,4,1,2,9,1,599.889231364421,0.0,0.0,0.0,0,735.66,2010-11-18,0,../data/True_data\trueimage_74.jpg,0.6612858176231384
918,201000000000918,2010-11-12,2011-11-12,28,50,50195,Crit'air 3,Gazole,20,Renault,Noire,19,2,60,5,2,5,2,2,11,1,252.61760983891,0.0,0.0,0.0,0,13036.3,2011-09-02,0,../data/True_data\trueimage_49.jpg,0.6798703074455261
1026,201000000001026,2010-06-10,2010-11-18,27,89,89111,Crit'air 1,Essence,0,Renault,Blanche,21,1,44,6,2,5,1,2,0,1,1411.5849998818,0.0,0.0,0.0,0,94.93,2010-08-04,0,../data/True_data\trueimage_73.jpg,0.17837922275066376
1304,201000000001304,2010-05-06,2011-05-06,24,28,28289,Crit'air 3,Gazole,20,Renault,Blanche,18,2,49,4,2,5,1,2,12,1,911.514679143381,0.0,0.0,0.0,0,1049.15,2010-10-24,0,../data/True_data\trueimage_105.jpg,0.6382373571395874
1356,201000000001356,2010-12-20,2011-12-20,28,61,61202,Crit'air 3,Gazole,8,Toyota,Noire,18,1,58,6,4,5,2,2,1,1,295.608631269099,0.0,0.0,0.0,0,3316.75,2011-09-12,0,../data/True_data\trueimage_109.jpg,0.7687264084815979
1640,201000000001640,2010-10-06,2011-10-06,44,55,55378,Non classee,Gazole,23,Hyundai,Sable,18,1,49,6,1,2,2,1,0,1,870.580454716137,0.0,0.0,0.0,0,308.74,2011-06-12,0,../data/True_data\trueimage_44.jpg,0.3430103659629822
1692,201000000001692,2010-03-22,2011-03-22,75,87,87036,Crit'air 2,Essence,1,Ford,Blanche,19,1,78,7,Z,Z,2,2,0,1,1670.53534176945,0.0,0.0,0.0,0,2250.88,2010-08-13,0,../data/True_data\trueimage_108.jpg,0.5135304927825928
1983,201000000001983,2010-09-27,2010-12-11,32,62,62649,Crit'air 3,Essence,16,Dacia,Noire,18,1,22,6,3,5,1,2,2,1,1530.00607114287,0.0,0.0,0.0,0,864.25,2010-11-11,0,../data/True_data\trueimage_84.jpg,0.4977790415287018
1987,201000000001987,2010-11-18,2011-11-18,27,71,71278,Crit'air 4,Gazole,15,Peugeot,Noire,18,1,31,5,2,5,1,1,9,1,152.997726352929,0.0,0.0,0.0,0,96.16,2011-11-10,0,../data/True_data\trueimage_57.jpg,0.6391335725784302
2165,201000000002165,2010-07-23,2011-07-23,52,72,72121,Crit'air 5,Gazole,21,Dacia,Verte,18,2,44,5,2,5,2,2,6,1,4217.60128557099,0.0,0.0,0.0,0,6924.68,2010-09-09,0,../data/True_data\trueimage_74.jpg,0.6612858176231384
2318,201000000002318,2010-05-22,2011-05-22,84,63,63385,Crit'air 5,Gazole,18,Citroën,Noire,19,1,77,7,Z,Z,1,1,9,1,2281.07076879338,0.0,0.0,0.0,0,669.74,2011-02-14,0,../data/True_data\trueimage_91.jpg,0.128183513879776
2364,201000000002364,2010-10-10,2011-04-23,52,53,53104,Crit'air 2,Gazole,0,Peugeot,Sable,18,1,36,4,2,5,2,2,0,1,3695.53705126441,0.0,0.0,0.0,0,933.74,2011-03-09,0,../data/True_data\trueimage_55.jpg,0.865058422088623
2431,201000000002431,2010-03-14,2011-03-14,11,78,78418,Crit'air 2,Essence,0,Renault,Bleue,18,1,74,7,Z,Z,1,2,0,1,513.689306506826,0.0,0.0,0.0,0,3351.78,2010-04-28,0,../data/True_data\trueimage_66.jpg,0.19005782902240753
2463,201000000002463,2010-05-30,2011-05-30,27,89,89179,Crit'air 3,Essence,20,Peugeot,Noire,19,1,24,4,Z,Z,1,2,14,1,2183.30157632268,0.0,0.0,0.0,0,1552.17,2010-07-19,0,../data/True_data\trueimage_53.jpg,0.24574050307273865
2686,201000000002686,2010-05-27,2011-05-27,32,62,62734,Crit'air 3,Gazole,9,Renault,Sable,18,1,63,7,Z,Z,1,1,1,1,1744.7669628573,0.0,0.0,0.0,0,1091.42,2011-03-04,0,../data/True_data\trueimage_40.jpg,0.8248931169509888
2712,201000000002712,2010-03-08,2011-03-08,24,41,41177,Crit'air 4,Gazole,16,Renault,Noire,18,1,39,4,3,5,1,2,6,1,160.046545935945,0.0,0.0,0.0,0,1299.25,2010-05-08,0,../data/True_data\trueimage_18.jpg,0.8216730952262878
2760,201000000002760,2010-01-06,2011-01-06,11,95,95058,Crit'air 4,Gazole,16,Nissan,Blanche,21,1,60,3,Z,Z,1,4,15,1,315.224236583413,0.0,0.0,0.0,0,2388.06,2010-09-15,0,../data/True_data\trueimage_23.jpg,0.7090014815330505
2814,201000000002814,2010-09-17,2011-09-17,24,37,37115,Crit'air 3,Essence,15,Renault,Autre,18,1,55,5,2,5,1,2,1,1,488.040135601751,0.0,0.0,0.0,0,1215.54,2010-11-25,0,../data/True_data\trueimage_75.jpg,0.21398724615573883
3004,201000000003004,2010-11-05,2011-11-05,32,80,80228,Crit'air 2,Gazole,0,Renault,Blanche,19,2,54,5,2,5,1,3,0,1,990.657611299547,0.0,0.0,0.0,0,393.59,2011-01-03,0,../data/True_data\trueimage_27.jpg,0.8369698524475098
3196,201000000003196,2010-08-08,2011-08-08,53,29,29232,Crit'air 3,Essence,11,Mercedes-Benz,Blanche,23,1,70,7,Z,Z,1,2,2,1,72.8367035032587,0.0,0.0,0.0,0,1288.82,2011-06-05,0,../data/True_data\trueimage_70.jpg,0.915771484375
3230,201000000003230,2010-09-29,2011-09-29,11,91,91338,Crit'air 2,Essence,1,Citroën,Blanche,18,2,67,7,Z,Z,2,1,0,1,551.476746533822,0.0,0.0,0.0,0,4611.6,2011-01-31,0,../data/True_data\trueimage_33.jpg,0.7427512407302856
3404,201000000003404,2010-11-06,2011-11-06,75,40,40149,Crit'air 3,Gazole,10,Peugeot,Verte,20,1,69,7,Z,Z,1,2,9,1,32.6659753080487,0.0,0.0,0.0,0,2081.39,2010-12-05,0,../data/True_data\trueimage_83.jpg,0.6951559782028198
3552,201000000003552,2010-01-08,2011-01-08,75,23,23127,Crit'air 1,Essence,0,Nissan,Blanche,21,1,26,5,2,5,1,2,0,1,380.037711489356,0.0,0.0,0.0,0,146.09,2010-04-23,0,../data/True_data\trueimage_105.jpg,0.6382373571395874
3616,201000000003616,2010-08-27,2011-08-27,32,62,62191,Crit'air 2,Gazole,12,Renault,Violette,18,1,37,3,2,5,1,2,2,1,1665.93097622535,0.0,0.0,0.0,0,12442.24,2011-03-30,0,../data/True_data\trueimage_110.jpg,0.6096000671386719
3694,201000000003694,2010-08-21,2011-08-21,75,86,86105,Crit'air 5,Gazole,20,Peugeot,Noire,18,1,34,6,2,5,1,2,16,1,274.664808869956,0.0,0.0,0.0,0,175.36,2011-05-13,0,../data/True_data\trueimage_109.jpg,0.7687264084815979
3761,201000000003761,2010-01-11,2011-01-11,75,86,86029,Non classee,Essence,23,Peugeot,Sable,18,1,43,6,3,5,1,2,15,1,891.374119482165,0.0,0.0,0.0,0,903.86,2010-10-26,0,../data/True_data\trueimage_72.jpg,0.9110665321350098
4079,201000000004079,2010-03-31,2011-03-31,84,73,73054,Crit'air 3,Gazole,16,Citroën,Noire,22,2,62,2,1,5,1,2,10,1,1854.22271289198,0.0,0.0,0.0,0,2025.84,2011-01-29,0,../data/True_data\trueimage_96.jpg,0.42193934321403503
4197,201000000004197,2010-09-10,2011-09-10,32,62,62498,Crit'air 1,Essence,12,Renault,Blanche,18,2,45,4,2,5,2,2,1,1,3106.59565932222,0.0,0.0,0.0,0,1263.0,2011-07-19,0,../data/True_data\trueimage_80.jpg,0.5683096051216125
4705,201000000004705,2010-07-12,2011-07-12,94,2A,2A035,Non classee,Essence,23,Citroën,Noire,20,1,63,7,Z,Z,2,5,0,1,169.158261761571,0.0,0.0,0.0,0,154.87,2010-12-19,0,../data/True_data\trueimage_48.jpg,0.6296870708465576
4710,201000000004710,2010-10-07,2011-10-07,93,84,84090,Crit'air 3,Essence,19,Peugeot,Violette,18,2,46,4,2,5,2,2,8,1,1834.85021728728,0.0,0.0,0.0,0,785.26,2010-11-26,0,../data/True_data\trueimage_22.jpg,0.9559832811355591
4948,201000000004948,2010-10-29,2011-10-29,84,73,73043,Crit'air 2,Essence,6,Dacia,Rouge,20,1,54,6,3,5,1,4,1,1,185.770740307087,0.0,0.0,0.0,0,1066.37,2011-07-13,0,../data/True_data\trueimage_108.jpg,0.5135304927825928
4995,201000000004995,2010-10-15,2011-01-21,84,73,73106,Crit'air 3,Gazole,11,Peugeot,Violette,19,1,42,5,2,5,2,1,0,1,1014.88987258799,0.0,0.0,0.0,0,154.9,2010-12-22,0,../data/True_data\trueimage_47.jpg,0.46450793743133545
5026,201000000005026,2010-11-09,2011-11-09,76,65,65073,Crit'air 2,Gazole,5,Peugeot,Sable,18,1,49,4,2,5,1,1,3,1,1775.0453905108,0.0,0.0,0.0,0,444.9,2011-01-28,0,../data/True_data\trueimage_100.jpg,0.6575487852096558
5225,201000000005225,2010-09-11,2010-12-03,94,2A,2A349,Crit'air 2,Gazole,10,Dacia,Verte,18,1,52,3,1,5,1,3,0,1,287.388399383501,0.0,0.0,0.0,0,350.53,2010-09-12,0,../data/True_data\trueimage_10.jpg,0.7302695512771606
5326,201000000005326,2010-03-24,2011-03-24,32,62,62572,Crit'air 5,Gazole,20,Peugeot,Autre,19,1,58,6,Z,Z,2,1,19,1,276.891334610564,0.0,0.0,0.0,0,297.59,2010-10-08,0,../data/True_data\trueimage_97.jpg,0.8092659711837769
5839,201000000005839,2010-02-09,2011-02-09,84,69,69253,Crit'air 3,Gazole,12,Citroën,Rouge,20,2,55,3,3,5,2,5,6,1,3015.05195729425,0.0,0.0,0.0,0,95.56,2010-10-07,0,../data/True_data\trueimage_62.jpg,0.42504584789276123
5869,201000000005869,2010-03-27,2011-03-27,11,91,91573,Non classee,Essence,25,Peugeot,Noire,18,1,45,6,3,5,1,2,23,1,718.408037191273,0.0,0.0,0.0,0,4005.84,2010-07-25,0,../data/True_data\trueimage_80.jpg,0.5683096051216125
6071,201000000006071,2010-03-04,2011-03-04,44,68,68056,Crit'air 3,Gazole,8,Opel,Verte,20,1,49,5,2,5,1,2,5,1,666.034574799902,0.0,0.0,0.0,0,2163.9,2010-05-13,0,../data/True_data\trueimage_112.jpg,0.6494401693344116
6179,201000000006179,2010-02-16,2011-02-16,32,60,60201,Crit'air 3,Gazole,8,Dacia,Noire,19,1,44,2,1,5,1,2,4,1,550.507695680521,0.0,0.0,0.0,0,5034.83,2010-04-05,0,../data/True_data\trueimage_69.jpg,0.9682579040527344
6568,201000000006568,2010-06-22,2011-06-22,44,57,57270,Crit'air 3,Essence,16,Peugeot,Verte,19,1,61,8,Z,Z,1,1,13,1,1144.85904647353,0.0,0.0,0.0,0,7770.91,2010-10-29,0,../data/True_data\trueimage_12.jpg,0.5258911848068237
