policy_id;policy_state;policy_deductible;policy_annual_premium;insured_age;insured_sex;insured_education_level;insured_occupation;insured_hobbies;incident_date;incident_type;collision_type;incident_severity;authorities_contacted;incident_state;incident_city;incident_hour_of_the_day;number_of_vehicles_involved;bodily_injuries;witnesses;police_report_available;claim_amount;total_claim_amount;fraud_reported;suspicion_score;motif_suspicion
POL102803;IL;600;935.98;72;MALE;High School;Sales;yachting;11/07/2024;Vehicle Theft;Rear;Total Loss;Police;NY;New Joycechester;0;4;0;0;No;26972.77;22892.49;Y;115.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Montant eleve sans rapport de police
POL125690;IL;200;1256.89;18;MALE;High School;Doctor;movies;25/03/2025;Vehicle Theft;Side;Total Loss;Inconnu;IL;New Hollybury;2;3;0;0;No;20499.03;17744.69;N;113.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90) | Montant eleve sans rapport de police | Conducteur jeune (16-25 ans)
POL122238;NY;500;632.91;62;OTHER;PhD;Manager;hiking;08/04/2025;Vehicle Theft;Rear;Total Loss;Fire;PA;East Carl;1;4;1;0;No;21952.69;23477.09;N;110.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Montant eleve sans rapport de police
POL100113;CA;400;652.56;57;OTHER;College;Manager;movies;17/12/2024;Vehicle Theft;Rear;Total Loss;Inconnu;PA;Santanabury;2;4;2;0;No;22889.37;21824.58;Y;105.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90) | Montant eleve sans rapport de police
POL105503;IL;500;703.45;18;MALE;High School;Manager;hiking;05/04/2024;Vehicle Theft;Front;Total Loss;Fire;NY;Westland;2;2;3;0;Yes;16940.55;23833.11;N;103.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant total extreme (>= P95) | Conducteur jeune (16-25 ans)
POL112193;PA;800;920.73;49;FEMALE;High School;Technician;chess;01/02/2024;Vehicle Theft;Rear;Total Loss;Inconnu;FL;Whitebury;2;3;0;0;Yes;23146.36;22789.98;N;100.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90)
POL119187;NY;600;1284.33;59;MALE;PhD;Sales;hiking;10/12/2024;Vehicle Theft;Side;Total Loss;Police;TX;Port Daniel;14;1;2;0;No;26058.79;23897.22;N;100.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Montant eleve sans rapport de police
POL104645;CA;700;941.96;48;OTHER;College;Teacher;yachting;14/01/2025;Vehicle Theft;Unknown;Total Loss;Ambulance;NC;Carpenterport;4;3;3;0;No;23434.7;20370.62;N;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Montant de reclamation extreme (>= P95) | Montant eleve sans rapport de police
POL104861;IL;600;1345.93;19;MALE;Masters;Lawyer;hiking;05/08/2025;Vehicle Theft;Rear;Total Loss;Police;NC;Osborneberg;0;4;2;0;No;15942.85;18817.02;N;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol de vehicule de nuit | Vol declare avec collision renseignee (incoherent) | Conducteur jeune (16-25 ans)
POL106513;CA;800;1153.8;21;FEMALE;College;Clerk;yachting;05/09/2024;Vehicle Theft;Side;Total Loss;Ambulance;GA;Andreabury;9;2;2;0;No;22920.39;22571.77;N;98.0;Autorite contactee (signal negatif) | Aucun temoin | Perte totale declaree | Pas de rapport de police | Perte totale sans temoin (combinaison aggravante) | Vol declare avec collision renseignee (incoherent) | Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Montant eleve sans rapport de police | Conducteur jeune (16-25 ans)
