policy_id;policy_state;policy_deductible;policy_annual_premium;insured_age;insured_sex;insured_education_level;insured_occupation;insured_hobbies;incident_date;incident_type;collision_type;incident_severity;authorities_contacted;incident_state;incident_city;incident_hour_of_the_day;number_of_vehicles_involved;bodily_injuries;witnesses;police_report_available;claim_amount;total_claim_amount;suspicion_score;motif_suspicion
POL102803;IL;600;935.98;72;MALE;High School;Sales;yachting;11/07/2024;Vehicle Theft;Rear;Total Loss;Police;NY;New Joycechester;0;4;0;0;No;26972.77;22892.49;200.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL122238;NY;500;632.91;62;OTHER;PhD;Manager;hiking;08/04/2025;Vehicle Theft;Rear;Total Loss;Fire;PA;East Carl;1;4;1;0;No;21952.69;23477.09;180.0;Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL127084;CA;300;1390.09;50;FEMALE;College;Teacher;hiking;20/10/2024;Vehicle Theft;Rear;Major Damage;Police;IL;Simmonsport;4;4;0;1;No;26926.91;24450.82;173.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL100113;CA;400;652.56;57;OTHER;College;Manager;movies;17/12/2024;Vehicle Theft;Rear;Total Loss;inconnu;PA;Santanabury;2;4;2;0;No;22889.37;21824.58;170.0;Montant de reclamation tres eleve (>= P90) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL105478;NY;600;965.64;36;MALE;College;Sales;chess;07/02/2025;Multi-vehicle Collision;Unknown;Total Loss;Fire;MI;New Matthewport;3;4;0;0;No;27020.73;24663.1;170.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL125690;IL;200;1256.89;18;MALE;High School;Doctor;movies;25/03/2025;Vehicle Theft;Side;Total Loss;inconnu;IL;New Hollybury;2;3;0;0;No;20499.03;17744.69;170.0;Montant de reclamation tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL127204;GA;500;933.37;56;OTHER;PhD;Manager;chess;30/05/2024;Vehicle Theft;Rear;Minor Damage;Ambulance;GA;East Jeremyborough;3;1;4;0;No;28524.98;23816.9;170.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Horaire atypique
POL129621;GA;800;610.19;41;OTHER;College;Clerk;movies;21/10/2025;Vehicle Theft;Rear;Major Damage;Fire;OH;East Michellestad;3;3;4;0;No;20833.33;24260.27;168.0;Montant de reclamation tres eleve (>= P90) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL104645;CA;700;941.96;48;OTHER;College;Teacher;yachting;14/01/2025;Vehicle Theft;Unknown;Total Loss;Ambulance;NC;Carpenterport;4;3;3;0;No;23434.7;20370.62;165.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol de vehicule de nuit | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL114540;NC;1000;638.91;46;OTHER;High School;Teacher;hiking;10/08/2024;Vehicle Theft;Front;Major Damage;inconnu;NY;Jonesmouth;1;4;1;1;No;26390.14;24709.61;163.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL115345;MI;400;853.94;29;OTHER;College;Doctor;yachting;12/09/2024;Vehicle Theft;Rear;Major Damage;Police;MI;Katelynfurt;3;3;3;1;No;28947.46;24930.12;163.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL117946;IL;1000;1133.19;36;MALE;High School;Lawyer;camping;20/02/2024;Vehicle Theft;Rear;Minor Damage;inconnu;CA;Ibarraberg;3;4;1;1;No;29172.16;24641.32;163.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL120759;CA;200;880.16;25;OTHER;PhD;Lawyer;reading;25/07/2024;Vehicle Theft;Side;Major Damage;Police;OH;Chenmouth;1;3;0;1;No;25772.0;22913.25;163.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL123426;OH;1000;773.52;40;FEMALE;High School;Engineer;movies;23/06/2025;Vehicle Theft;Rear;Major Damage;Fire;TX;Greenton;1;4;4;5;No;24824.61;24582.37;163.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Horaire atypique
POL119187;NY;600;1284.33;59;MALE;PhD;Sales;hiking;10/12/2024;Vehicle Theft;Side;Total Loss;Police;TX;Port Daniel;14;1;2;0;No;26058.79;23897.22;162.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police
POL104453;NY;1000;903.6;50;FEMALE;Masters;Clerk;yachting;22/02/2025;Vehicle Theft;Rear;Major Damage;Ambulance;OH;East Josephberg;0;1;0;0;No;23101.3;20043.43;160.0;Montant de reclamation extreme (>= P95) | Montant total eleve (>= P75) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Gravite elevee sans blesse declare | Horaire atypique
POL106376;GA;800;1318.75;34;OTHER;Masters;Teacher;paintball;14/01/2025;Multi-vehicle Collision;Side;Total Loss;Ambulance;NY;Lake Kevinshire;3;3;1;0;No;26534.98;24434.77;160.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL112193;PA;800;920.73;49;FEMALE;High School;Technician;chess;01/02/2024;Vehicle Theft;Rear;Total Loss;inconnu;FL;Whitebury;2;3;0;0;Yes;23146.36;22789.98;160.0;Montant de reclamation extreme (>= P95) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Perte totale sans temoin | Vol de vehicule de nuit | Vol declare avec collision renseignee | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare | Horaire atypique
POL114369;PA;700;1113.56;41;FEMALE;Masters;Clerk;chess;15/11/2024;Multi-vehicle Collision;Side;Total Loss;Police;OH;New Gina;23;3;1;0;No;27329.06;24818.15;160.0;Montant de reclamation extreme (>= P95) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Horaire atypique
POL116024;IL;800;727.5;67;MALE;PhD;Doctor;yachting;29/12/2024;Vehicle Theft;Side;Major Damage;inconnu;FL;Johnsonland;4;2;2;0;No;22702.03;24802.05;160.0;Montant de reclamation tres eleve (>= P90) | Montant total extreme (>= P95) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Vol de vehicule de nuit | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Horaire atypique
POL116701;IL;600;605.76;67;OTHER;College;Clerk;yachting;16/08/2024;Vehicle Theft;Front;Total Loss;inconnu;GA;North Melissaton;14;3;0;0;No;22283.74;23602.96;160.0;Montant de reclamation tres eleve (>= P90) | Montant total tres eleve (>= P90) | Reclamation extreme vs prime (ratio >= 12) | Montant tres eleve sans rapport de police | Perte totale sans temoin | Vol declare avec collision renseignee | Aucun temoin et pas de rapport de police | Nombre de vehicules impliques eleve | Gravite elevee sans blesse declare
