;score ;nombre 
115;115;1
113;113;1
110;110;1
105;105;1
103;103;1
100;100;2
100;98;10
98;96;1
98;95;3
98;93;10
98;91;2
98;90;32
98;88;19
98;86;6
98;85;32
98;83;19
98;81;7
96;80;4
95;78;41
95;77;1
95;76;15
93;75;9
93;73;54
93;72;3
93;71;17
93;70;101
93;68;119
93;67;5
93;66;69
93;65;101
93;63;102
91;62;11
91;61;51
90;60;5
90;58;425
90;57;17
90;56;1
90;55;29
90;53;418
90;52;24
90;51;5
90;50;96
90;49;2
90;48;31
90;47;96
90;46;2
90;45;72
90;44;8
90;43;30
90;42;210
90;41;5
90;40;87
90;39;7
90;38;75
90;37;160
90;36;13
90;35;188
90;34;17
90;33;129
90;32;55
90;31;27
90;30;395
90;29;22
90;28;229
90;27;331
88;26;76
88;25;598
88;24;39
88;23;340
88;22;683
88;21;50
88;20;735
88;19;269
88;18;850
88;17;458
88;15;1467
88;14;274
88;13;705
88;12;151
88;10;2713
88;9;32
88;8;32
88;7;530
88;5;1983
86;4;63
86;3;123
86;2;603
86;0;365
86;-1;734
86;-2;112
85;-3;815
85;-5;1433
85;-6;683
85;-8;860
85;-10;1319
85;-13;3559
85;-18;3284
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
85;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
83;;
81;;
81;;
81;;
81;;
81;;
81;;
81;;
80;;
80;;
80;;
80;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
78;;
77;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
76;;
75;;
75;;
75;;
75;;
75;;
75;;
75;;
75;;
75;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
73;;
72;;
72;;
72;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
71;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
70;;
